31-03-2018 19-44-39:	ERR:	Failed to initialise world
31-03-2018 19-44-39:	INFO:	Created quad renderer
31-03-2018 19-44-39:	INFO:	Loaded test texture
31-03-2018 19-44-39:	INFO:	Registered scene: class TestScene
31-03-2018 19-44-39:	INFO:	Pushed static scene: class TestScene
31-03-2018 19-44-39:	INFO:	Updating 3 JObjects
31-03-2018 19-44-39:	INFO:	0
31-03-2018 19-44-39:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	0
31-03-2018 19-44-40:	INFO:	Updating 3 JObjects
31-03-2018 19-44-40:	INFO:	0
